127.0.0.1 - - [27/May/2018:00:11:33 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [27/May/2018:00:12:06 -0700] "GET /app/webapi/profiles HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [27/May/2018:00:31:07 -0700] "GET /app/webapi/profiles HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [27/May/2018:05:56:21 -0700] "GET /app/webapi/profiles HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [27/May/2018:05:57:14 -0700] "GET /app/webapi/profiles HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [27/May/2018:06:30:04 -0700] "GET /app/webapi/events HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [27/May/2018:06:31:11 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [27/May/2018:06:31:13 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [27/May/2018:06:31:14 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [27/May/2018:06:37:31 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [27/May/2018:07:55:21 -0700] "GET /app/webapi/profiles/1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [27/May/2018:07:56:03 -0700] "GET /app/webapi/events/1 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [27/May/2018:07:56:46 -0700] "GET /app/webapi/events HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [27/May/2018:07:56:56 -0700] "GET /app/webapi/events/1 HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [27/May/2018:07:57:01 -0700] "GET /app/webapi/events HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [27/May/2018:07:57:46 -0700] "GET /app/webapi/clubs/1 HTTP/1.1" 200 62
