127.0.0.1 - - [09/Aug/2018:04:43:12 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:47:26 -0700] "POST /app/webapi/clubs HTTP/1.1" 500 4157
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:48:25 -0700] "GET /app/webapi/profiles HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:50:08 -0700] "POST /app/webapi/clubs HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:50:46 -0700] "POST /app/webapi/clubs HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:51:01 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:51:24 -0700] "DELETE /app/webapi/clubs/1 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:51:32 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 67
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:52:06 -0700] "POST /app/webapi/clubs HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:52:12 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:52:51 -0700] "POST /app/webapi/clubs HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:53:15 -0700] "POST /app/webapi/clubs HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:53:20 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:57:04 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:57:41 -0700] "POST /app/webapi/events HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:58:20 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:59:15 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:04:59:58 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:00:04 -0700] "GET /app/webapi/events HTTP/1.1" 200 659
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:01:08 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:01:48 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:02:29 -0700] "POST /app/webapi/events HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:02:35 -0700] "GET /app/webapi/events HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:03:23 -0700] "GET /app/webapi/clubs HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [09/Aug/2018:05:03:32 -0700] "GET /app/webapi/events HTTP/1.1" 200 1052
0:0:0:0:0:0:0:1 - - [09/Aug/2018:15:31:04 -0700] "GET /app/webapi//eventsInClub/2 HTTP/1.1" 404 967
