127.0.0.1 - - [09/Dec/2018:05:17:49 +0530] "GET / HTTP/1.1" 404 951
172.16.134.51 - - [09/Dec/2018:05:19:15 +0530] "GET /app/webapi/club_CAMP_image HTTP/1.1" 200 4594
172.16.134.51 - - [09/Dec/2018:05:19:27 +0530] "GET /app/webapi/club_TAC_image HTTP/1.1" 200 77958
172.16.131.102 - - [09/Dec/2018:05:20:26 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:05:20:26 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:05:20:26 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:05:20:26 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.134.51 - - [09/Dec/2018:05:27:49 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.134.51 - - [09/Dec/2018:05:39:36 +0530] "GET /app/webapi/events HTTP/1.1" 200 1477
172.16.134.51 - - [09/Dec/2018:05:41:36 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.134.51 - - [09/Dec/2018:05:41:50 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:06:03:45 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:06:03:45 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:06:21:02 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:06:21:02 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:06:22:35 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:06:22:35 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:06:59:59 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:06:59:59 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:07:00:38 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:07:00:38 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:07:55:47 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:07:55:47 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.131.102 - - [09/Dec/2018:08:02:03 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 536
172.16.131.102 - - [09/Dec/2018:08:02:03 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
