127.0.0.1 - - [14/Jan/2019:03:20:36 +0530] "GET / HTTP/1.1" 404 951
172.16.129.121 - - [14/Jan/2019:03:22:31 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.129.121 - - [14/Jan/2019:03:23:03 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:03:25:03 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:03:25:07 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:03:25:07 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:03:25:16 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:03:30:25 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:03:47:31 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:03:47:31 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:03:47:31 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:03:47:31 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:03:47:34 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:05:16:10 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:05:16:10 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:05:16:10 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:05:16:10 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:05:16:13 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:05:21:19 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:05:28:34 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:05:28:34 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:05:28:38 +0530] "GET /app/webapi/eventsInClub/4 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:05:30:33 +0530] "GET /app/webapi/eventsInClub/3 HTTP/1.1" 200 263
172.16.128.82 - - [14/Jan/2019:05:32:16 +0530] "GET /app/webapi/clubs HTTP/1.1" 200 540
172.16.128.82 - - [14/Jan/2019:05:32:16 +0530] "GET /app/webapi/eventsInClub/0 HTTP/1.1" 200 266
172.16.128.82 - - [14/Jan/2019:05:32:18 +0530] "GET /app/webapi/eventsInClub/1 HTTP/1.1" 200 266
